ano,titulo,autor,palavras_num,palavras_unic,pont_total,pont_frases,palavras_por_pont,palavras_por_frase
1862,AmorDePerdição,CamiloCasteloBranco,276130,36233,8157,3369,33.8519063381145,81.96200653012764
1866,AsPupilasDoSenhorReitor,JulioDinis,554226,74494,17698,7477,31.31574189173918,74.12411394944496
1888,OsMaias,EçaDeQueiroz,1276590,173955,48532,23688,26.304088024396275,53.891843971631204
1908,QuatroNovelas,AnaDeCastroOsório,284213,33982,7608,3350,37.35712407991588,84.83970149253732
1914,AConfissãoDeLúcio,MárioSáCarneiro,157746,19822,4739,1951,33.286769360624604,80.85392106611994
1917,Húmus,RaulBrandão,313231,40900,9973,5754,31.407901333600723,54.437087243656585
1922,OBanqueiroAnarquista,FernandoPessoa,61885,7510,1912,740,32.36663179916318,83.62837837837837
1945,Vindima,MiguelTorga,420907,55339,14561,9000,28.90646246823707,46.76744444444444
1953,UmaAbelhaNaChuva,CarlosDeOliveira,133126,17711,4362,1571,30.519486474094453,84.73965626989178
1954,ASibila,AugustinaBessaLuis,511070,62949,14180,3542,36.04160789844852,144.28853754940712
1958,ACasaGrandeDeRomarigães,AquilinoRibeiro,532690,67761,15768,7531,33.78297818366312,70.73297038905856
1959,Aparicao,VergílioFerreira,353142,47075,12570,6101,28.09403341288783,57.88264218980495
1968,ODelfim,JoséCardosoPires,301401,41125,10036,4472,30.031984854523714,67.39736135957067
1979,SinaisDeFogo,JorgeDeSena,1082226,139124,35895,13945,30.149770162975344,77.60674076730011
1988,AsNaus,AntonioLoboAntunes,335309,37146,6326,989,53.00490041100221,339.03842264914056
1995,EnsaioSobreACegueira,JoseSaramago,597896,74019,17592,2194,33.98681218735789,272.51412944393803
2001,LilliasFraser,HéliaCorreia,359916,43973,9568,4034,37.616638795986624,89.22062469013386
2002,OVentoAssobiandoNasGruas,LídiaJorge,815580,108269,26318,12702,30.989436887301466,64.20878601794993
2005,Jerusalem,GoncaloMTavares,242001,30415,6856,2437,35.29769544924154,99.30283135002051
2008,OApocalipseDosTrabalhadores,ValterHugoMãe,307790,37183,7901,3256,38.95582837615492,94.53009828009829
2010,ABonecaDeKokoschka,AfonsoCruz,256933,32278,7270,3430,35.34154057771664,74.90758017492712
2011,AsLuzesDeLeonor,MariaTeresaHorta,2098216,249914,47455,14314,44.21485617953851,146.58488193377113
2013,QueImportaAFuriaDoMar,AnaMargaridaDeCarvalho,390206,47741,10721,3699,36.39641824456674,105.48959178156258
2016,AGorda,IsabelaFigueiredo,341610,43810,10466,5023,32.639977068603095,68.00915787378061
2018,LuandaLisboaParaiso,DjaimiliaPereiraDeAlmeida,248873,30395,6046,2590,41.163248428713196,96.08996138996139
